HH Profile_ID,Referral Code,HH Profile_Status,Registration_Date,Update_Date,Calculation_Date,Confirmation_Date,FirstOtp-Registration_Time,Registration-Underwriting_Time,Registration-Confirmation_Time,Registration-Calculation_Time,Calculation-Confirmation_Time,Scheme (AFF),AFF,Max Aff,Min Aff,EAS,Result,S01_Income,S02_Occupation,S03_Position,S04_School,S09_Electricity bill,S10_Nb_Members,S11_Phone brand,S13_Hospital,S15_Home ownership,S16_Urban type,S17_Residency,S18_Nb_Properties,S19_Private insurance,S20_Loan type,Q01_Income,Q02_Occupation,Q03_Position,RQ04_School,Q09_Electricity bill,Q10_Nb_Members,Q11_Phone brand,RQ13_Hospital,Q15_Home ownership,Q16_Urban type,RQ17_Residency,Q18_Properties,Q19_Private insurance,Q20_Loan type,Q23_Nb_Dependents,Q24_High treament cost
105,1BVK,DOCUMENT_NEEDED,18/01/2024 15:53,18/01/2024 16:42,,,06:38:55,00:22:00,,,,,14.994114,15.4,10.2,3 (Middle),3.92195,1,1,1,1,5,5.8,6.2,6.2,1.8,1.8,1.8,0.2,0.2,0.2,72.912,Nghỉ hưu,Không có / Chức vụ khác,Không,931.000,2,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
106,1BVK,CONFIRMED,18/01/2024 15:59,18/01/2024 21:00,18/01/2024 17:39,18/01/2024 18:34,00:42:39,00:26:30,02:34:52,01:39:48,00:55:04,Able to afford with PAP scheme B,17.192629,20.3,15.4,4 (Upper-Middle),4.36584,2,2.42,2.42,2,6,5.6,5.6,5.6,2.8,2.8,2.8,1.2,1.2,0.6,144,Nhân viên văn phòng cho cty vừa và nhỏ,Không có / Chức vụ khác,Class 7,1.136.000,>4,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí",0,0
107,26FV,DOCUMENT_NEEDED,18/01/2024 16:31,19/01/2024 10:09,,,00:52:23,00:00:55,,,,,24.98042,30.4,20.3,5 (Upper),5.46341,1,1.21,1.21,1.4,5.4,6.2,6.6,8.2,1.8,3.4,4.2,4.2,5.8,6.4,108,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 6,3.887.000,2,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Có,"Có khoản vay mua nhà, mua ô tô",0,0
108,12PTW,DOCUMENT_NEEDED,18/01/2024 17:06,18/01/2024 17:55,,,24:09:50,00:06:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
109,5VMHN,RE_APPROVAL,18/01/2024 17:13,19/01/2024 09:53,,,18:30:41,00:07:28,,,,,18.937508,20.3,15.4,4 (Upper-Middle),4.72194,2,2.42,2.42,2,3.6,4.4,4.8,6.4,2.8,4.4,4.4,2.8,2.8,2.8,136.608,Lao động tự do,Không có / Chức vụ khác,Class 7,489.000,2,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
110,5VMHN,DOCUMENT_NEEDED,18/01/2024 17:37,19/01/2024 09:02,,,172:28:38,02:39:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
111,3QD108,DOCUMENT_NEEDED,18/01/2024 17:44,19/01/2024 09:08,,,30:26:29,02:44:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
112,23UBHCM,DOCUMENT_NEEDED,18/01/2024 18:03,19/01/2024 10:48,,,01:25:43,00:01:14,,,,,32.618347,65.4,30.4,6 (High),6.06096,3,3.63,3.63,3,7,7.8,7.8,7.8,3.8,5.4,6.2,4.6,4.6,4.6,317.676,Khác,Nhân viên,Không,1.153.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
113,1BVK,PROCESSING,18/01/2024 18:48,19/01/2024 09:13,,,23:00:53,01:55:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
114,1BVK,DOCUMENT_NEEDED,18/01/2024 20:11,19/01/2024 09:26,,,00:32:04,00:38:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,,,,,,0,0
