HH Profile_ID,Referral Code,HH Profile_Status,Nb_Sub-profile_All,Nb_Sub-profile_Support,FirstOtp_Date,Registration_Date,Underwriting_Date,Update_Date,Completion_Date,Confirmation_Date,FirstOtp-Registration_Time,Registration-Underwriting_Time,Registration-Confirmation_Time,Registration-Calculation_Time,Calculation-Confirmation_Time,Scheme (AFF),AFF,Max Aff,Min Aff,EAS,Result,S01_Income,S02_Occupation,S03_Position,S04_School,S09_Electricity bill,S10_Nb_Members,S11_Phone brand,S13_Hospital,S15_Home ownership,S16_Urban type,S17_Residency,S18_Nb_Properties,S19_Private insurance,S20_Loan type,Q01_Income,Q02_Occupation,Q03_Position,RQ04_School,Q09_Electricity bill,Q10_Nb_Members,Q11_Phone brand,RQ13_Hospital,Q15_Home ownership,Q16_Urban type,RQ17_Residency,Q18_Properties,Q19_Private insurance,Q20_Loan type,Q23_Nb_Dependents,Q24_High treament cost
107,26FV,CONFIRMED,3,3,18/01/2024 15:38,18/01/2024 16:31,18/01/2024 16:32,22/01/2024 11:09,22/01/2024 10:56,22/01/2024 11:09,00:52:23,00:00:55,90:37:51,90:24:55,00:12:56,Able to afford with PAP scheme A,>=65,>=65,>=65,7 (Very High),7.63901,3,3.63,4.83,3.4,7.4,7.8,8.2,9.8,3.8,5.4,6.2,6.2,7.8,8.4,288,Nhân viên văn phòng cho cty vừa và nhỏ,Chủ doanh nghiệp,Class 6,3.887.000,3,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Có,"Có khoản vay mua nhà, mua ô tô",0,0
108,12PTW,CONFIRMING,5,5,17/01/2024 16:57,18/01/2024 17:06,18/01/2024 17:13,26/01/2024 18:11,26/01/2024 18:11,,24:09:50,00:06:37,,193:04:21,,Able to afford with PAP scheme A,31.464361,65.4,30.4,6 (High),6.02925,4,4.84,4.84,4,7.2,6.8,6.8,6.8,4.8,4.8,4.8,3.2,3.2,3.2,418.056,Khác,Nhân viên,Class 7,730.000,>4,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
109,5VMHN,CONFIRMED,4,2,17/01/2024 22:42,18/01/2024 17:13,18/01/2024 17:20,23/01/2024 22:59,22/01/2024 17:08,23/01/2024 22:59,18:30:41,00:07:28,125:46:39,95:55:29,29:51:10,Able to afford with PAP scheme B,16.786291,20.3,15.4,4 (Upper-Middle),4.28292,2,2.42,2.42,2,3.6,3.6,4,5.6,2.8,4.4,4.4,2.8,2.8,2.8,136.608,Lao động tự do,Không có / Chức vụ khác,Class 7,489.000,4,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
110,5VMHN,CONFIRMED,4,2,11/01/2024 13:08,18/01/2024 17:37,18/01/2024 20:16,23/01/2024 16:33,23/01/2024 16:30,23/01/2024 16:33,172:28:38,02:39:02,118:55:59,118:53:02,00:02:57,Able to afford with PAP scheme B,17.491426,20.3,15.4,4 (Upper-Middle),4.42682,1,1.21,1.61,1.4,4.6,4.6,5,6.6,1.8,3.4,2.6,1,1,1,114.3,Công chức nhà nước,Quản lý cấp trung,Class 6,830.000,4,Apple,Class 1,Có,Class - Special / 1,Sở hữu Căn hộ chung cư,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
111,3QD108,CONFIRMED,2,2,17/01/2024 11:18,18/01/2024 17:44,18/01/2024 20:28,22/01/2024 11:51,22/01/2024 11:50,22/01/2024 11:51,30:26:29,02:44:07,90:07:08,90:06:02,00:01:06,Able to afford with PAP scheme C,5.4358277,10.2,5.1,2 (Low),2.06585,1,1.21,1.21,1,1.8,2.6,2.2,2.2,1,2.6,1.8,0.2,0.2,-0.4,56.16,Lao động tự do,Không có / Chức vụ khác,Không,188.000,2,"Khác (Xiaomi, Realme, ...)",Class 4,Không,Class - Special / 1,Thuê Căn hộ chung cư,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng,0,0
112,23UBHCM,CONFIRMED,2,2,18/01/2024 16:38,18/01/2024 18:03,18/01/2024 18:04,06/02/2024 08:30,24/01/2024 10:44,06/02/2024 08:30,01:25:43,00:01:14,446:26:35,136:41:14,309:45:21,Able to afford with PAP scheme A,32.618347,65.4,30.4,6 (High),6.06096,3,3.63,3.63,3,7,7.8,7.8,7.8,3.8,5.4,6.2,4.6,4.6,4.6,317.676,Khác,Nhân viên,Không,1.153.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
113,1BVK,CONFIRMED,3,2,17/01/2024 19:48,18/01/2024 18:48,18/01/2024 20:44,22/01/2024 19:13,22/01/2024 19:11,22/01/2024 19:13,23:00:53,01:55:40,96:24:46,96:22:22,00:02:24,Able to afford with PAP scheme C,5.0146117,5.1,0.1,1 (Very Low),1.98292,1,1.21,1.21,1,1.8,2.2,1.8,1.8,1.8,3.4,4.2,2.6,2.6,2.6,72,Khác,Không có / Chức vụ khác,Không,310.000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
114,1BVK,CONFIRMED,4,3,18/01/2024 19:39,18/01/2024 20:11,18/01/2024 20:49,29/01/2024 12:24,29/01/2024 12:21,29/01/2024 12:24,00:32:04,00:38:29,256:13:11,256:09:52,00:03:19,Able to afford with PAP scheme A,>=65,>=65,>=65,7 (Very High),7.05852,4,4.84,5.24,4,8,8,8.4,8.4,4.8,6.4,6.4,6.4,8,8,396,Làm nông,Quản lý cấp trung,Không,980.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào,0,0
115,24QY175,CONFIRMED,3,3,18/01/2024 20:10,18/01/2024 20:44,18/01/2024 20:57,29/01/2024 15:51,29/01/2024 14:32,29/01/2024 15:51,00:34:17,00:12:25,259:06:50,257:47:56,01:18:54,Able to afford with PAP scheme A,21.211342,30.4,20.3,5 (Upper),5.09023,2,2.42,2.82,2,6,6.4,6.8,6.8,2.8,3.6,4.4,4.4,4.4,5,132,Khác,Quản lý cấp trung,Không,1.126.000,3,Apple,Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác,0,0
116,1BVK,CONFIRMED,2,2,18/01/2024 20:34,18/01/2024 21:11,18/01/2024 21:19,25/01/2024 20:33,25/01/2024 20:28,25/01/2024 20:33,00:36:44,00:08:21,167:22:11,167:17:17,00:04:54,Able to afford with PAP scheme B,15.60314,20.3,15.4,4 (Upper-Middle),4.04146,1,1.21,1.21,1,5,5.8,6.2,6.2,1.8,2.6,2.6,1,2.6,2.6,84,Lao động tự do,Không có / Chức vụ khác,Class 7,941.000,2,Apple,Class 4,Có,Class - 2 / 3,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
117,28TN,CONFIRMED,4,4,18/01/2024 20:15,18/01/2024 22:15,18/01/2024 22:37,22/01/2024 14:54,22/01/2024 14:53,22/01/2024 14:54,02:00:35,00:22:13,88:38:50,88:37:21,00:01:29,Able to afford with PAP scheme A,21.925741,30.4,20.3,5 (Upper),5.16096,2,2.42,2.42,2.8,6.8,6.8,7.2,7.2,2.8,4.4,4.4,2.8,2.8,3.4,204,Lao động tự do,Không có / Chức vụ khác,Class 5,1.192.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác,0,0
119,1BVK,CONFIRMED,4,3,18/01/2024 22:41,18/01/2024 23:59,19/01/2024 10:48,23/01/2024 15:02,23/01/2024 14:33,23/01/2024 15:02,01:17:40,10:49:09,111:03:40,110:34:42,00:28:58,Able to afford with PAP scheme B,18.196535,20.3,15.4,4 (Upper-Middle),4.57072,2,2.42,2.42,2,6,6,5.6,5.6,2.8,4.4,5.2,3.6,3.6,3,120.0912,Khác,Nhân viên,Không,853.000,4,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí",0,0
120,34NDGD,CONFIRMED,4,2,18/01/2024 10:26,19/01/2024 10:12,19/01/2024 10:26,25/01/2024 08:39,22/01/2024 16:40,25/01/2024 08:39,23:46:18,00:13:15,142:26:18,78:27:25,63:58:53,Able to afford with PAP scheme C,13.687773,15.4,10.2,3 (Middle),3.67073,1,1.21,1.21,1,5,5,5.4,5.4,1.8,3.4,3.4,1.8,1.8,1.8,96,Lao động tự do,Không có / Chức vụ khác,Không,1.628.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
121,3QD108,CONFIRMED,3,2,18/01/2024 21:26,19/01/2024 10:22,19/01/2024 10:25,22/01/2024 19:29,22/01/2024 19:17,22/01/2024 19:29,12:55:52,00:03:28,81:07:46,80:54:59,00:12:47,Able to afford with PAP scheme C,11.163855,15.4,10.2,3 (Middle),3.18536,2,2.42,2.42,2,2.8,3.2,3.6,3.6,2.8,4.4,4.4,2.8,2.8,3.4,148.5612,Lao động tự do,Không có / Chức vụ khác,Không,235.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác,0,0
122,12PTW,CONFIRMING,2,2,18/01/2024 09:21,19/01/2024 10:43,19/01/2024 11:16,05/02/2024 17:20,05/02/2024 17:20,,25:22:04,00:32:33,,414:37:00,,Able to afford with PAP scheme A,20.767899,30.4,20.3,5 (Upper),5.04633,3,3.63,3.63,3,5.4,6.2,6.2,6.2,3,4.6,3.8,2.2,3.8,3.8,283.08,Lao động tự do,Nhân viên,Class 7,668.000,2,Samsung / Vivo / OPPO,Class 4,Không,Class - Special / 1,Thuê Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
123,1BVK,CONFIRMED,4,4,19/01/2024 10:18,19/01/2024 11:09,19/01/2024 11:25,25/01/2024 17:49,25/01/2024 17:46,25/01/2024 17:49,00:50:31,00:16:16,150:39:51,150:37:14,00:02:37,Able to afford with PAP scheme A,20.915747,30.4,20.3,5 (Upper),5.06097,2,2.42,2.42,2.4,6.4,6.4,6.8,6.8,2.8,4.4,5.2,5.2,5.2,5.8,169.1304,Khác,Nhân viên,Class 6,916.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác,0,0
124,24QY175,CONFIRMED,2,2,18/01/2024 09:28,19/01/2024 11:19,19/01/2024 11:45,19/01/2024 17:35,19/01/2024 17:09,19/01/2024 17:35,25:51:03,00:26:20,06:15:22,05:49:56,00:25:26,Able to afford with PAP scheme A,>=65,>=65,>=65,14 (Very High),14.4975,6,7.26,8.06,14,18,18.8,19.2,19.2,6.8,8.4,10,13.2,14.8,14.8,2880,Chủ doanh nghiệp,Giám đốc,Class 1,2.522.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố lớn,Sở hữu hơn 2 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào,0,0
125,3QD108,CONFIRMED,3,2,18/01/2024 19:42,19/01/2024 12:29,19/01/2024 14:14,22/01/2024 12:14,22/01/2024 12:12,22/01/2024 12:14,16:47:09,01:45:15,71:45:01,71:43:16,00:01:45,Able to afford with PAP scheme C,4.6731477,5.1,0.1,1 (Very Low),1.91463,1,1.21,1.21,1,1.8,2.2,2.2,2.2,1.8,3.4,3.4,1.8,1.8,1.8,72,Lao động tự do,Không có / Chức vụ khác,Không,291.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
126,8TCI,CONFIRMED,3,3,19/01/2024 12:17,19/01/2024 13:01,19/01/2024 13:51,25/01/2024 20:41,25/01/2024 20:36,25/01/2024 20:41,00:43:41,00:49:42,151:39:35,151:34:51,00:04:44,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.25119,5,6.05,7.25,5.4,9.4,9.8,10.2,11,5.8,6.6,8.2,8.2,9.8,9.8,510.4908,Công chức nhà nước,Chủ doanh nghiệp,Class 6,985.000,3,Apple,Class 2,Có,Class - 2 / 3,Sở hữu Nhà phố lớn,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào,0,0
127,5VMHN,CONFIRMED,3,3,19/01/2024 12:53,19/01/2024 13:23,19/01/2024 13:39,22/01/2024 16:47,22/01/2024 16:03,22/01/2024 16:47,00:30:21,00:15:47,75:24:16,74:40:27,00:43:49,Able to afford with PAP scheme A,>=65,>=65,>=65,11 (Very High),11.5488,5,6.05,6.05,8.2,12.2,12.6,13,14.6,5.8,7.4,15.4,15.4,17,17,480,Lao động tự do,Không có / Chức vụ khác,Class 3,2.465.000,3,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà phố khu khép kín,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào,0,0
128,31UBCT,CONFIRMED,4,4,19/01/2024 08:03,19/01/2024 13:37,19/01/2024 14:43,30/01/2024 14:35,30/01/2024 14:28,30/01/2024 14:35,05:33:31,01:05:59,264:57:44,264:51:03,00:06:41,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.08534,6,7.26,7.26,6.4,9.6,9.6,9.6,9.6,6.8,8.4,10,13.2,14.8,15.4,1117.7364,Công chức nhà nước,Nhân viên,Class 6,839.000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố lớn,Sở hữu hơn 2 ngôi nhà khác,Có,Có khoản vay khác,0,0
129,4UBHN,CONFIRMED,2,2,19/01/2024 10:14,19/01/2024 13:45,19/01/2024 14:55,22/01/2024 10:33,22/01/2024 10:27,22/01/2024 10:33,03:30:56,01:10:09,68:47:51,68:42:18,00:05:33,Able to afford with PAP scheme C,5.087779,5.1,0.1,1 (Very Low),1.99756,1,1.21,1.21,1,1.8,2.6,2.6,2.6,1.8,1.8,1.8,1.8,1.8,1.8,36,Làm nông,Không có / Chức vụ khác,Class 7,436.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
130,1BVK,CONFIRMED,3,3,18/01/2024 10:26,19/01/2024 14:06,19/01/2024 15:04,24/01/2024 17:06,24/01/2024 17:04,24/01/2024 17:06,27:40:07,00:57:26,122:59:11,122:57:45,00:01:26,Able to afford with PAP scheme A,>=65,>=65,>=65,7 (Very High),7.33169,4,4.84,4.84,4.4,8.4,8.8,9.2,9.2,4.8,6.4,7.2,5.6,7.2,7.2,360.8928,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 6,928.000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
131,4UBHN,CONFIRMED,4,3,19/01/2024 09:20,19/01/2024 14:50,19/01/2024 15:19,26/01/2024 19:02,26/01/2024 18:28,26/01/2024 19:02,05:30:16,00:28:59,172:11:23,171:37:10,00:34:13,Able to afford with PAP scheme C,11.163853,15.4,10.2,3 (Middle),3.18536,2,2.42,2.42,2.8,3.6,3.6,3.6,3.6,2.8,4.4,4.4,4.4,4.4,3.8,233.1096,Nhân viên văn phòng cho cty vừa và nhỏ,Không có / Chức vụ khác,Class 5,447.000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí",0,0
132,3QD108,CONFIRMED,5,2,17/01/2024 18:08,19/01/2024 14:58,19/01/2024 15:31,22/01/2024 12:23,22/01/2024 12:21,22/01/2024 12:23,44:50:43,00:32:09,69:24:26,69:22:27,00:01:59,Able to afford with PAP scheme C,8.383862,10.2,5.1,2 (Low),2.64389,2,2,2,2,2.8,2.4,2.4,2.4,2.8,3.6,4.4,2.8,2.8,2.8,129.0648,Nghỉ hưu,Không có / Chức vụ khác,Không,37.000,>4,Samsung / Vivo / OPPO,Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
133,3QD108,CONFIRMED,3,3,19/01/2024 14:44,19/01/2024 15:33,19/01/2024 15:48,22/01/2024 16:29,22/01/2024 16:28,22/01/2024 16:29,00:48:26,00:15:14,72:56:31,72:54:48,00:01:43,Able to afford with PAP scheme C,13.091656,15.4,10.2,3 (Middle),3.55609,2,2.42,2.42,2,3.6,4,4.4,4.4,2,3.6,3.6,2,2,2,167.082,Lao động tự do,Không có / Chức vụ khác,Không,573.000,3,Apple,Class 4,Không,Class - Special / 1,Thuê Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
134,3QD108,CONFIRMED,4,3,19/01/2024 15:10,19/01/2024 15:35,19/01/2024 16:05,02/02/2024 18:07,02/02/2024 16:57,02/02/2024 18:07,00:24:47,00:30:07,338:31:47,337:22:00,01:09:47,Able to afford with PAP scheme C,13.446779,15.4,10.2,3 (Middle),3.62438,2,2.42,2.42,2,4.4,4.4,4,4,2.8,4.4,4.4,2.8,2.8,2.8,132,Khác,Không có / Chức vụ khác,Class 7,699.000,4,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
135,24QY175,CONFIRMED,4,3,19/01/2024 15:19,19/01/2024 16:06,19/01/2024 16:14,23/01/2024 17:30,23/01/2024 17:19,23/01/2024 17:30,00:46:47,00:07:48,97:24:37,97:13:14,00:11:23,Able to afford with PAP scheme A,28.798628,30.4,20.3,5 (Upper),5.84145,3,3.63,3.63,3,7,7,7.4,7.4,3.8,5.4,6.2,4.6,4.6,4.6,324,Khác,Nhân viên,Không,1.379.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
136,3QD108,CONFIRMED,4,4,19/01/2024 13:58,19/01/2024 16:27,19/01/2024 16:29,25/01/2024 17:47,25/01/2024 17:46,25/01/2024 17:47,02:28:42,00:01:48,145:19:58,145:19:10,00:00:48,Able to afford with PAP scheme C,3.490221,5.1,0.1,1 (Very Low),1.67804,1,1.21,1.21,1,1.8,1.8,1.4,1.4,1.8,2.6,2.6,2.6,2.6,3.2,96,Khác,Không có / Chức vụ khác,Class 7,450.000,4,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - 2 / 3,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác,0,0
137,4UBHN,CONFIRMED,3,3,19/01/2024 13:37,19/01/2024 17:21,19/01/2024 19:37,23/01/2024 12:03,23/01/2024 12:01,23/01/2024 12:03,03:44:29,02:15:49,90:41:34,90:39:15,00:02:19,Able to afford with PAP scheme C,11.518977,15.4,10.2,3 (Middle),3.25365,2,2.42,2.42,2.4,3.2,3.6,3.6,3.6,2.8,4.4,5.2,3.6,3.6,3.6,148.3596,Lao động tự do,Không có / Chức vụ khác,Class 6,270.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,2,0
138,19UBDN,CONFIRMED,3,3,19/01/2024 17:36,19/01/2024 17:48,19/01/2024 19:42,24/01/2024 17:16,24/01/2024 17:02,24/01/2024 17:10,00:11:56,01:54:28,119:21:40,119:13:57,00:07:43,Able to afford with PAP scheme A,28.108871,30.4,20.3,5 (Upper),5.77316,3,3.63,3.63,3,7,7.4,7.4,7.4,3.8,5.4,5.4,3.8,3.8,3.8,307.2,Lao động tự do,Nhân viên,Không,1.400.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Thuê Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
139,26FV,CONFIRMED,4,2,19/01/2024 17:03,19/01/2024 17:51,19/01/2024 18:14,22/01/2024 17:10,22/01/2024 16:44,22/01/2024 17:10,00:48:11,00:23:03,71:18:36,70:52:58,00:25:38,Able to afford with PAP scheme A,25.670128,30.4,20.3,5 (Upper),5.5317,2,2.42,2.42,2,6,6,6.4,8,2.8,3.6,3.6,3.6,3.6,3.6,132,Công chức nhà nước,Không có / Chức vụ khác,Class 7,843.000,4,Apple,Class 1,Có,Class - 2 / 3,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
141,24QY175,CONFIRMED,2,2,19/01/2024 18:41,19/01/2024 18:52,19/01/2024 20:13,31/01/2024 19:46,29/01/2024 17:39,29/01/2024 17:40,00:10:59,01:21:03,238:48:04,238:46:35,00:01:29,Able to afford with PAP scheme A,29.463764,30.4,20.3,5 (Upper),5.9073,3,3,3,3,7,7.8,7.8,7.8,3.8,5.4,6.2,6.2,6.2,6.2,252,Nghỉ hưu,Không có / Chức vụ khác,Không,2.000.000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
142,24QY175,CONFIRMED,4,3,19/01/2024 10:57,19/01/2024 19:16,19/01/2024 20:18,01/02/2024 15:16,01/02/2024 15:14,01/02/2024 15:16,08:19:14,01:01:56,307:59:45,307:57:23,00:02:22,Able to afford with PAP scheme B,15.818227,20.3,15.4,4 (Upper-Middle),4.08535,3,3.63,3.63,3,3.8,3.8,4.2,4.2,3.8,5.4,6.2,4.6,4.6,4.6,312,Lao động tự do,Không có / Chức vụ khác,Không,350.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
143,1BVK,CONFIRMED,3,2,19/01/2024 21:27,19/01/2024 21:36,20/01/2024 07:17,04/02/2024 21:17,04/02/2024 21:00,04/02/2024 21:17,00:09:03,09:41:31,383:41:08,383:24:09,00:16:59,Able to afford with PAP scheme C,11.595072,15.4,10.2,3 (Middle),3.26828,2,2.42,2.42,2,3.6,4,4,4,2.8,2.8,2.8,1.2,1.2,0.6,132,Làm nông,Không có / Chức vụ khác,Không,562.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí",0,0
144,1BVK,CONFIRMED,3,2,19/01/2024 08:40,20/01/2024 10:38,21/01/2024 12:25,23/01/2024 16:59,23/01/2024 16:58,23/01/2024 16:59,25:58:05,25:46:42,78:20:35,78:19:21,00:01:14,Able to afford with PAP scheme C,9.142654,10.2,5.1,2 (Low),2.79268,1,1.21,1.21,1.8,3.4,3.8,3.4,3.4,1.8,3.4,3.4,1.8,1.8,1.2,96,Làm nông,Không có / Chức vụ khác,Class 5,511.000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng,0,0
145,24QY175,CONFIRMED,4,4,19/01/2024 21:32,20/01/2024 16:51,21/01/2024 12:33,02/02/2024 22:20,26/01/2024 12:03,02/02/2024 22:20,19:19:24,19:42:04,317:28:42,139:11:53,178:16:49,Able to afford with PAP scheme A,>=65,>=65,>=65,6 (Very High),6.99022,6,6.24,6.24,6,6.8,6.8,7.2,7.2,6.8,8.4,9.2,7.6,7.6,7.6,780.3972,"Nhân viên văn phòng cho cty lớn, doanh nghiệp đa quốc gia",Không có / Chức vụ khác,Không,310.000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
146,3QD108,CONFIRMED,3,2,20/01/2024 13:42,20/01/2024 19:59,21/01/2024 12:40,23/01/2024 09:50,23/01/2024 09:46,23/01/2024 09:50,06:17:19,16:40:06,61:50:28,61:46:28,00:04:00,Able to afford with PAP scheme C,4.6731477,5.1,0.1,1 (Very Low),1.91463,1,1.21,1.21,1,1.8,2.2,2.2,2.2,1.8,3.4,3.4,1.8,1.8,1.8,96,Lao động tự do,Không có / Chức vụ khác,Không,337.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
147,1BVK,CONFIRMED,3,1,18/01/2024 20:50,20/01/2024 20:48,21/01/2024 12:45,26/01/2024 15:33,26/01/2024 15:30,26/01/2024 15:33,47:58:14,15:56:57,138:45:25,138:42:13,00:03:12,Able to afford with PAP scheme C,6.6424155,10.2,5.1,2 (Low),2.30243,1,1,1,1,2.6,3,3,3,1.8,3.4,3.4,1.8,1.8,1.8,23.1,Nghỉ hưu,Không có / Chức vụ khác,Không,599.000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào,0,0
148,4UBHN,CONFIRMED,2,2,19/01/2024 14:11,20/01/2024 22:11,21/01/2024 12:51,24/01/2024 10:34,24/01/2024 10:32,24/01/2024 10:34,31:59:39,14:40:05,84:23:03,84:20:41,00:02:22,Able to afford with PAP scheme A,>=65,>=65,>=65,9 (Very High),9.43412,6,7.26,7.26,6,10,10.8,11.2,11.2,6.8,8.4,9.2,7.6,9.2,9.2,1200,Lao động tự do,Không có / Chức vụ khác,Class 7,4.438.000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào,0,0
149,12PTW,CONFIRMED,4,3,18/01/2024 15:52,21/01/2024 11:25,21/01/2024 12:57,24/01/2024 19:30,24/01/2024 19:29,24/01/2024 19:30,67:32:18,01:32:08,80:05:20,80:04:24,00:00:56,Able to afford with PAP scheme A,>=65,>=65,>=65,6 (Very High),6.99022,4,4.84,5.24,4.4,8.4,8.4,8.4,8.4,4.8,6.4,7.2,7.2,7.2,7.2,420,Nhân viên văn phòng cho cty vừa và nhỏ,Quản lý cấp trung,Class 6,1.000.000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào,0,0
